116,SSPA,SSPA,LHZ,00,IU,40.64,-77.89,270,135.6883474,116
117,SUR,SUR,LHZ,00,II,-32.38,20.81,1760,77.79747131,117
118,TAM,TAM,LHZ,*,G,22.79,5.52,1395,87.6400017,118
119,TATO00,TATO,LHZ,00,IU,24.98,121.49,53,34.14376428,119
120,TATO10,TATO,LHZ,10,IU,24.98,121.49,53,34.14376428,120
121,TAU,TAU,LHZ,00,II,-42.91,147.32,132,66.24472191,121
122,TEIG00,TEIG,LHZ,00,IU,20.23,-88.28,69,156.5511681,122
123,TEIG10,TEIG,LHZ,10,IU,20.23,-88.28,69,156.5511681,123
124,TIXI,TIXI,LHZ,00,IU,71.65,128.87,50,71.94556933,124
125,TLY,TLY,LHZ,00,II,51.68,103.64,579,49.22058792,125
126,TRQA00,TRQA,LHZ,00,IU,-38.06,-61.98,501,138.8370274,126
127,TRQA10,TRQA,LHZ,10,IU,-38.06,-61.98,501,138.8370274,127
128,TUC,TUC,LHZ,00,IU,32.31,-110.78,910,137.3732145,128
129,ULN,ULN,LHZ,00,IU,47.87,107.05,1615,46.11231707,129
130,UNM,UNM,LHZ,*,G,19.33,-99.18,2257,153.9775671,130
131,WAKE,WAKE,LHZ,20,IU,19.28,166.65,0.2,72.3685694,131
132,WCI,WCI,LHZ,00,IU,38.23,-86.29,210,138.6778203,132
133,WRAB00,WRAB,LHZ,00,II,-19.93,134.35,366,45.5908336,133
134,WRAB10,WRAB,LHZ,10,II,-19.93,134.35,366,45.5908336,134
135,WUS,WUS,LHZ,00,G,41.2,79.22,1457,40.4392345,135
136,WVT,WVT,LHZ,*,IU,36.13,-87.83,170,140.731719,136
137,YAK,YAK,LHZ,00,IU,62.03,129.68,91,64.58057907,137
138,YSS,YSS,LHZ,00,IU,46.95,142.76,98,60.58865354,138
